,address,has_ens,ens_count,has_defi_transactions,count_defi_transactions,had_activity_before_december_2022,count_activity_before_december_2022,had_activity_after_december_2022,count_activity_after_december_2022
7971,0x932e4ff5f5c1998b3d3f6656db6c0d5a1144fdd5,NO,0,NO,0,no,0,no,0
8005,0xdeab2bf2f9b14e73689e482f5837aa25ff6018bc,NO,0,NO,0,no,0,no,0
8059,0x15e3b73bc306d3fe84b1ae2aae24de4672474369,NO,0,NO,0,no,0,no,0
8162,0xe7889e29d2a0de12fd53f0e23c1c6e60a889e63a,NO,0,NO,0,no,0,no,0
8182,0x2f3d938006c59ddc2f3897f5d42be78c3edb8ff9,NO,0,NO,0,no,0,no,0
8216,0x14b096eb7ada6f58b7f39fa4532b781325faedac,NO,0,NO,0,no,0,no,0
8218,0x6a075f8208f4e7dd26ffce00df70ca1db5d599f5,NO,0,NO,0,no,0,no,0
8219,0xa8d352f246695076bdb9adb701f13035c3ddeadb,NO,0,NO,0,no,0,no,0
8375,0xf2ddc005a3da62704c17449a0edb39490fc55ebd,NO,0,NO,0,no,0,no,0
8426,0x2bc491b53a2d70c798f619320ad3eaf1b294b1bd,NO,0,NO,0,no,0,no,0
8461,0x6662c4192299b19ad0f62caedbcd4a60359852f5,NO,0,NO,0,no,0,no,0
8472,0x8530beb1e580ba49cfc92058354cfc216e0ed60d,NO,0,NO,0,no,0,no,0
8484,0xe7351a49d4fe8312e11b6fb52e68a232a1ba5654,NO,0,NO,0,no,0,no,0
8506,0xd211ee0fc1ebc9c2ba6d5f4371861b60c9882a33,NO,0,NO,0,no,0,no,0
8572,0xfa52afc6d1a91478d4b3367d6d80d0fe01ee3f82,NO,0,NO,0,no,0,no,0
8610,0x0cdcdda93d07343020a9be098942a1182f3a5442,NO,0,NO,0,no,0,no,0
8659,0x236ce1e3da8c5cb10d0b3613588b8df10791d7e1,NO,0,NO,0,no,0,no,0
8735,0x313f54cd3520f3eb3b7bb683a8779e265a61fba2,NO,0,NO,0,no,0,no,0
8833,0xbe3dba9d4c0a45b260f33eeb9895001ef4002700,NO,0,NO,0,no,0,no,0
8842,0xcea62ae0e3ab5c671018a1af8b1278b45a5d40fd,NO,0,NO,0,no,0,no,0
8870,0xcfa4bf8368ccebc66045183cff82d8346a65f8ab,NO,0,NO,0,no,0,no,0
8900,0xd7e8f0d783bd7be38fc8944f2530e92737ae3e96,NO,0,NO,0,no,0,no,0
8979,0xab68e3373b28e91f4496b2d0d03fc9fdbb7e092d,NO,0,NO,0,no,0,no,0
9015,0xf3c959a5d891ff5cb6856dc19489ff3639125de2,NO,0,NO,0,no,0,no,0
9017,0x6e04f3fb8537da365eb130fff8c57b522ff377c5,NO,0,NO,0,no,0,no,0
9040,0x3a4be70e81c6e22d2a47a9d5f420dc187fcdf331,NO,0,NO,0,no,0,no,0
9041,0xc0baaaa6971f7bfa246a7b95c8cf263c1a3e3575,NO,0,NO,0,no,0,no,0
9072,0xb7f400e3b155f785c7cc865268539b60be84661f,NO,0,NO,0,no,0,no,0
9097,0x1bf19a294f08203c74d7d8e18f19da4cf8a15fdd,NO,0,NO,0,no,0,no,0
9116,0xa46fe33ccdb8676a37e6e3f1e27a08d1707b6c4e,NO,0,NO,0,no,0,no,0
9117,0xb6d0f148a735c7771905c6a499f1c613daffd959,NO,0,NO,0,no,0,no,0
9132,0xc491c4c913a23675a56f52ac76a7bc9bc0fb5f8c,NO,0,NO,0,no,0,no,0
9135,0xe014489795fe67a4f4136061e784407c0d50b455,NO,0,NO,0,no,0,no,0
9155,0x3e931398519b326eb8e22d3601d3c9760c88cfcf,NO,0,NO,0,no,0,no,0
9186,0x66b4b033b2a5b612ec59e02b4dcbdeccd8dd0f93,NO,0,NO,0,no,0,no,0
9204,0xc1d821d04583069d00e575fcd490ae1d54dad21b,NO,0,NO,0,no,0,no,0
9396,0x938c23f0ad23cb87a25df679e9714248e06d934e,NO,0,NO,0,no,0,no,0
9400,0x627f4478adb8cdb6fb38c03c18baf26d394f818a,NO,0,NO,0,no,0,no,0
9461,0x5f55a665bb6c96dc902930f69b5162e3a0338303,NO,0,NO,0,no,0,no,0
9479,0xef2e39ff7b0ff2f91ee7b211d62bc94507abee9e,NO,0,NO,0,no,0,no,0
9481,0x4d88b07caea479a73e537dbf9cf45d4b432bf9e2,NO,0,NO,0,no,0,no,0
9488,0x95f0b367001746fd6e50ac22782411d84f1e0850,NO,0,NO,0,no,0,no,0
9520,0xc480d882401a6ea77dfe904f24aa0ea423464ddb,NO,0,NO,0,no,0,no,0
9526,0x27558928c6ed4f1975835b98b940416f4554b7b9,NO,0,NO,0,no,0,no,0
9559,0x11a34b3dcde9e42b3dc95b2426458a752b0c3d94,NO,0,NO,0,no,0,no,0
9576,0x1ac75ad63998699c68992bbdb41778cedaa64847,NO,0,NO,0,no,0,no,0
